Date,Open
2017-01-01,509.60
2017-02-01,477.55
2017-03-01,458.95
2017-04-01,460.35
2017-05-01,442.50
2017-06-01,470.55
2017-07-01,444.00
2017-08-01,455.00
2017-09-01,447.15
2017-10-01,480.05
2017-11-01,519.90
2017-12-01,492.95
2018-01-01,522.70
2018-02-01,506.60
2018-03-01,473.25
2018-04-01,479.25
2018-05-01,545.10
2018-06-01,576.80
2018-07-01,573.30
2018-08-01,577.20
2018-09-01,549.60
2018-10-01,591.00
2018-11-01,560.40
2018-12-01,543.70
2019-01-01,495.95
2019-02-01,517.80
2019-03-01,535.90
2019-04-01,558.40
2019-05-01,560.70
2019-06-01,536.80
2019-07-01,557.70
2019-08-01,542.50
2019-09-01,500.00
2019-10-01,516.50
2019-11-01,489.70
2019-12-01,482.50
2020-01-01,471.60
2020-02-01,459.00
2020-03-01,414.65
2020-04-01,327.00
2020-05-01,307.05
2020-06-01,314.50
2020-07-01,310.45
2020-08-01,278.25
2020-09-01,263.80
2020-10-01,226.65
2020-11-01,196.00
2020-12-01,245.00
2021-01-01,254.80
2021-02-01,274.25
2021-03-01,298.10
2021-04-01,296.85
2021-05-01,303.00
2021-06-01,308.60
2021-07-01,318.15
2021-08-01,292.20
2021-09-01,298.10
2021-10-01,335.65
2021-11-01,351.10
2021-12-01,327.10
2022-01-01,330.50
2022-02-01,383.15
2022-03-01,368.05
2022-04-01,372.75
2022-05-01,391.55
2022-06-01,433.35
2022-07-01,380.25
2022-08-01,401.55
2022-09-01,442.00
2022-10-01,432.00
2022-11-01,479.50
2022-12-01,493.50
2023-01-01,474.90
2023-02-01,491.05
2023-03-01,552.00
2023-04-01,530.00
2023-05-01,534.40
2023-06-01,456.35
2023-07-01,462.65
2023-08-01,481.05
2023-09-01,494.25
2023-10-01,531.70
2023-11-01,495.00
2023-12-01,479.05
