Date,Open
2017-01-01,1005.00
2017-02-01,948.50
2017-03-01,961.00
2017-04-01,1023.00
2017-05-01,1168.00
2017-06-01,1415.00
2017-07-01,1345.00
2017-08-01,1240.00
2017-09-01,1195.00
2017-10-01,1240.00
2017-11-01,1345.00
2017-12-01,1398.00
2018-01-01,1464.00
2018-02-01,1660.50
2018-03-01,1645.50
2018-04-01,1604.50
2018-05-01,1590.50
2018-06-01,1715.00
2018-07-01,1658.50
2018-08-01,1620.50
2018-09-01,1523.00
2018-10-01,1250.00
2018-11-01,1192.50
2018-12-01,1124.00
2019-01-01,1105.00
2019-02-01,1260.00
2019-03-01,1239.50
2019-04-01,1055.00
2019-05-01,1170.00
2019-06-01,866.20
2019-07-01,960.00
2019-08-01,961.00
2019-09-01,961.00
2019-10-01,1149.50
2019-11-01,1244.50
2019-12-01,1333.50
2020-01-01,1424.50
2020-02-01,1410.00
2020-03-01,1141.50
2020-04-01,554.00
2020-05-01,588.00
2020-06-01,699.40
2020-07-01,680.00
2020-08-01,497.70
2020-09-01,626.80
2020-10-01,510.00
2020-11-01,493.60
2020-12-01,819.20
2021-01-01,830.00
2021-02-01,735.80
2021-03-01,1005.00
2021-04-01,1036.00
2021-05-01,997.00
2021-06-01,997.00
2021-07-01,905.00
2021-08-01,853.80
2021-09-01,806.20
2021-10-01,645.80
2021-11-01,618.00
2021-12-01,513.20
2022-01-01,556.00
2022-02-01,628.80
2022-03-01,607.40
2022-04-01,559.20
2022-05-01,561.00
2022-06-01,522.40
2022-07-01,364.00
2022-08-01,403.00
2022-09-01,355.90
2022-10-01,284.90
2022-11-01,354.80
2022-12-01,397.50
2023-01-01,324.60
2023-02-01,489.90
2023-03-01,485.00
2023-04-01,512.80
2023-05-01,497.60
2023-06-01,472.00
2023-07-01,484.90
2023-08-01,451.10
2023-09-01,425.60
2023-10-01,428.20
2023-11-01,365.00
2023-12-01,453.70
